damage_level,quantity_level,chance_level,damage,quantity,chance,total_cost,product,pareto_frontier
25,5,16,2329.0,5.0,27.5,7168.0,3202.3750000000005,True
26,5,13,2794.0,5.0,23.0,7365.0,3213.1000000000004,True
26,5,14,2794.0,5.0,24.5,7589.0,3422.65,True
26,5,15,2794.0,5.0,26.0,7831.0,3632.2000000000003,True
26,5,16,2794.0,5.0,27.5,8091.0,3841.7500000000005,True
27,5,13,3342.0,5.0,23.0,8474.0,3843.3,True
27,5,14,3342.0,5.0,24.5,8698.0,4093.95,True
27,5,15,3342.0,5.0,26.0,8940.0,4344.6,True
27,5,16,3342.0,5.0,27.5,9200.0,4595.25,True
28,5,14,3990.0,5.0,24.5,9993.0,4887.75,True
28,5,15,3990.0,5.0,26.0,10235.0,5187.0,True
28,5,16,3990.0,5.0,27.5,10495.0,5486.25,True
29,5,14,4755.0,5.0,24.5,11514.0,5824.875,True
29,5,15,4755.0,5.0,26.0,11756.0,6181.5,True
29,5,16,4755.0,5.0,27.5,12016.0,6538.125000000001,True
30,5,14,5655.0,5.0,24.5,13301.0,6927.375,True
30,5,15,5655.0,5.0,26.0,13543.0,7351.5,True
30,5,16,5655.0,5.0,27.5,13803.0,7775.625000000001,True
31,5,14,6715.0,5.0,24.5,15404.0,8225.875,True
31,5,15,6715.0,5.0,26.0,15646.0,8729.5,True
31,5,16,6715.0,5.0,27.5,15906.0,9233.125,True
32,5,14,7961.0,5.0,24.5,17873.0,9752.225,True
32,5,15,7961.0,5.0,26.0,18115.0,10349.300000000001,True
32,5,16,7961.0,5.0,27.5,18375.0,10946.375,True
