damage_level,quantity_level,chance_level,damage,quantity,chance,total_cost,product,pareto_frontier
2,4,3,3.0,4.0,8.0,294.0,0.96,False
10,1,3,85.0,1.0,8.0,295.0,6.8,False
4,4,2,9.0,4.0,6.5,296.0,2.34,False
10,2,2,85.0,2.0,6.5,299.0,11.05,True
8,3,3,46.0,3.0,8.0,300.0,11.040000000000001,False
8,1,5,46.0,1.0,11.0,301.0,5.06,False
5,3,5,14.0,3.0,11.0,301.0,4.62,False
7,3,4,32.0,3.0,9.5,303.0,9.120000000000001,False
6,1,6,22.0,1.0,12.5,305.0,2.75,False
3,4,3,5.0,4.0,8.0,305.0,1.6,False
5,2,6,14.0,2.0,12.5,306.0,3.5,False
5,4,1,14.0,4.0,5.0,311.0,2.8000000000000003,False
9,3,1,63.0,3.0,5.0,313.0,9.450000000000001,False
9,2,4,63.0,2.0,9.5,316.0,11.97,True
1,1,7,2.0,1.0,14.0,318.0,0.28,False
5,4,2,14.0,4.0,6.5,319.0,3.64,False
9,3,2,63.0,3.0,6.5,321.0,12.285,True
11,1,1,113.0,1.0,5.0,322.0,5.65,False
4,4,3,9.0,4.0,8.0,322.0,2.88,False
2,1,7,3.0,1.0,14.0,323.0,0.42000000000000004,False
10,2,3,85.0,2.0,8.0,325.0,13.6,True
1,3,6,2.0,3.0,12.5,325.0,0.75,False
11,1,2,113.0,1.0,6.5,330.0,7.345000000000001,False
6,3,5,22.0,3.0,11.0,330.0,7.26,False
2,3,6,3.0,3.0,12.5,330.0,1.125,False
8,2,5,46.0,2.0,11.0,331.0,10.12,False
1,4,4,2.0,4.0,9.5,333.0,0.76,False
3,1,7,5.0,1.0,14.0,334.0,0.7000000000000001,False
6,2,6,22.0,2.0,12.5,335.0,5.5,False
2,4,4,3.0,4.0,9.5,338.0,1.1400000000000001,False
10,1,4,85.0,1.0,9.5,339.0,8.075,False
6,4,1,22.0,4.0,5.0,340.0,4.4,False
7,1,6,32.0,1.0,12.5,340.0,4.0,False
3,3,6,5.0,3.0,12.5,341.0,1.875,False
8,3,4,46.0,3.0,9.5,344.0,13.11,False
5,4,3,14.0,4.0,8.0,345.0,4.48,False
9,3,3,63.0,3.0,8.0,347.0,15.120000000000001,True
9,1,5,63.0,1.0,11.0,348.0,6.93,False
6,4,2,22.0,4.0,6.5,348.0,5.720000000000001,False
1,2,7,2.0,2.0,14.0,348.0,0.56,False
3,4,4,5.0,4.0,9.5,349.0,1.9,False
4,1,7,9.0,1.0,14.0,351.0,1.2600000000000002,False
11,2,1,113.0,2.0,5.0,352.0,11.3,False
2,2,7,3.0,2.0,14.0,353.0,0.8400000000000001,False
11,1,3,113.0,1.0,8.0,356.0,9.040000000000001,False
4,3,6,9.0,3.0,12.5,358.0,3.375,False
11,2,2,113.0,2.0,6.5,360.0,14.690000000000001,False
3,2,7,5.0,2.0,14.0,364.0,1.4000000000000001,False
7,3,5,32.0,3.0,11.0,365.0,10.56,False
10,3,1,85.0,3.0,5.0,366.0,12.75,False
4,4,4,9.0,4.0,9.5,366.0,3.42,False
10,2,4,85.0,2.0,9.5,369.0,16.15,True
7,2,6,32.0,2.0,12.5,370.0,8.0,False
10,3,2,85.0,3.0,6.5,374.0,16.575,True
6,4,3,22.0,4.0,8.0,374.0,7.04,False
5,1,7,14.0,1.0,14.0,374.0,1.9600000000000002,False
7,4,1,32.0,4.0,5.0,375.0,6.4,False
9,2,5,63.0,2.0,11.0,378.0,13.86,False
8,1,6,46.0,1.0,12.5,381.0,5.75,False
5,3,6,14.0,3.0,12.5,381.0,5.25,False
4,2,7,9.0,2.0,14.0,381.0,2.5200000000000005,False
7,4,2,32.0,4.0,6.5,383.0,8.32,False
11,2,3,113.0,2.0,8.0,386.0,18.080000000000002,True
5,4,4,14.0,4.0,9.5,389.0,5.32,False
9,3,4,63.0,3.0,9.5,391.0,17.955000000000002,False
12,1,1,148.0,1.0,5.0,393.0,7.4,False
1,4,5,2.0,4.0,11.0,395.0,0.88,False
10,3,3,85.0,3.0,8.0,400.0,20.400000000000002,True
11,1,4,113.0,1.0,9.5,400.0,10.735,False
2,4,5,3.0,4.0,11.0,400.0,1.32,False
12,1,2,148.0,1.0,6.5,401.0,9.620000000000001,False
10,1,5,85.0,1.0,11.0,401.0,9.35,False
6,1,7,22.0,1.0,14.0,403.0,3.08,False
5,2,7,14.0,2.0,14.0,404.0,3.9200000000000004,False
8,3,5,46.0,3.0,11.0,406.0,15.18,False
7,4,3,32.0,4.0,8.0,409.0,10.24,False
6,3,6,22.0,3.0,12.5,410.0,8.25,False
8,2,6,46.0,2.0,12.5,411.0,11.5,False
3,4,5,5.0,4.0,11.0,411.0,2.2,False
8,4,1,46.0,4.0,5.0,416.0,9.200000000000001,False
6,4,4,22.0,4.0,9.5,418.0,8.36,False
12,2,1,148.0,2.0,5.0,423.0,14.8,False
1,3,7,2.0,3.0,14.0,423.0,0.8400000000000001,False
8,4,2,46.0,4.0,6.5,424.0,11.96,False
11,3,1,113.0,3.0,5.0,427.0,16.95,False
12,1,3,148.0,1.0,8.0,427.0,11.84,False
9,1,6,63.0,1.0,12.5,428.0,7.875,False
4,4,5,9.0,4.0,11.0,428.0,3.96,False
2,3,7,3.0,3.0,14.0,428.0,1.2600000000000002,False
11,2,4,113.0,2.0,9.5,430.0,21.47,True
12,2,2,148.0,2.0,6.5,431.0,19.240000000000002,False
10,2,5,85.0,2.0,11.0,431.0,18.7,False
6,2,7,22.0,2.0,14.0,433.0,6.16,False
1,1,8,2.0,1.0,15.5,434.0,0.31,False
11,3,2,113.0,3.0,6.5,435.0,22.035,True
7,1,7,32.0,1.0,14.0,438.0,4.48,False
3,3,7,5.0,3.0,14.0,439.0,2.1,False
2,1,8,3.0,1.0,15.5,439.0,0.46499999999999997,False
10,3,4,85.0,3.0,9.5,444.0,24.225,True
7,3,6,32.0,3.0,12.5,445.0,12.0,False
8,4,3,46.0,4.0,8.0,450.0,14.72,False
3,1,8,5.0,1.0,15.5,450.0,0.775,False
5,4,5,14.0,4.0,11.0,451.0,6.16,False
9,3,5,63.0,3.0,11.0,453.0,20.79,False
7,4,4,32.0,4.0,9.5,453.0,12.16,False
4,3,7,9.0,3.0,14.0,456.0,3.7800000000000002,False
12,2,3,148.0,2.0,8.0,457.0,23.68,False
9,2,6,63.0,2.0,12.5,458.0,15.75,False
11,3,3,113.0,3.0,8.0,461.0,27.12,True
11,1,5,113.0,1.0,11.0,462.0,12.43,False
9,4,1,63.0,4.0,5.0,463.0,12.600000000000001,False
1,2,8,2.0,2.0,15.5,464.0,0.62,False
4,1,8,9.0,1.0,15.5,467.0,1.395,False
7,2,7,32.0,2.0,14.0,468.0,8.96,False
2,2,8,3.0,2.0,15.5,469.0,0.9299999999999999,False
9,4,2,63.0,4.0,6.5,471.0,16.38,False
12,1,4,148.0,1.0,9.5,471.0,14.06,False
1,4,6,2.0,4.0,12.5,475.0,1.0,False
13,1,1,191.0,1.0,5.0,477.0,9.55,False
8,1,7,46.0,1.0,14.0,479.0,6.44,False
5,3,7,14.0,3.0,14.0,479.0,5.880000000000001,False
6,4,5,22.0,4.0,11.0,480.0,9.68,False
3,2,8,5.0,2.0,15.5,480.0,1.55,False
2,4,6,3.0,4.0,12.5,480.0,1.5,False
10,1,6,85.0,1.0,12.5,481.0,10.625,False
13,1,2,191.0,1.0,6.5,485.0,12.415000000000001,False
8,3,6,46.0,3.0,12.5,486.0,17.25,False
5,1,8,14.0,1.0,15.5,490.0,2.17,False
3,4,6,5.0,4.0,12.5,491.0,2.5,False
11,2,5,113.0,2.0,11.0,492.0,24.86,False
8,4,4,46.0,4.0,9.5,494.0,17.48,False
9,4,3,63.0,4.0,8.0,497.0,20.16,False
4,2,8,9.0,2.0,15.5,497.0,2.79,False
12,3,1,148.0,3.0,5.0,498.0,22.200000000000003,False
12,2,4,148.0,2.0,9.5,501.0,28.12,True
11,3,4,113.0,3.0,9.5,505.0,32.205,True
12,3,2,148.0,3.0,6.5,506.0,28.86,False
10,3,5,85.0,3.0,11.0,506.0,28.05,False
13,2,1,191.0,2.0,5.0,507.0,19.1,False
6,3,7,22.0,3.0,14.0,508.0,9.24,False
4,4,6,9.0,4.0,12.5,508.0,4.5,False
8,2,7,46.0,2.0,14.0,509.0,12.88,False
10,2,6,85.0,2.0,12.5,511.0,21.25,False
13,1,3,191.0,1.0,8.0,511.0,15.280000000000001,False
13,2,2,191.0,2.0,6.5,515.0,24.830000000000002,False
7,4,5,32.0,4.0,11.0,515.0,14.08,False
10,4,1,85.0,4.0,5.0,516.0,17.0,False
6,1,8,22.0,1.0,15.5,519.0,3.41,False
5,2,8,14.0,2.0,15.5,520.0,4.34,False
10,4,2,85.0,4.0,6.5,524.0,22.1,False
9,1,7,63.0,1.0,14.0,526.0,8.82,False
5,4,6,14.0,4.0,12.5,531.0,7.0,False
12,3,3,148.0,3.0,8.0,532.0,35.52,True
9,3,6,63.0,3.0,12.5,533.0,23.625,False
12,1,5,148.0,1.0,11.0,533.0,16.28,False
1,3,8,2.0,3.0,15.5,539.0,0.9299999999999999,False
13,2,3,191.0,2.0,8.0,541.0,30.560000000000002,False
9,4,4,63.0,4.0,9.5,541.0,23.94,False
11,1,6,113.0,1.0,12.5,542.0,14.125,False
7,3,7,32.0,3.0,14.0,543.0,13.440000000000001,False
2,3,8,3.0,3.0,15.5,544.0,1.395,False
6,2,8,22.0,2.0,15.5,549.0,6.82,False
10,4,3,85.0,4.0,8.0,550.0,27.2,False
7,1,8,32.0,1.0,15.5,554.0,4.96,False
13,1,4,191.0,1.0,9.5,555.0,18.145,False
3,3,8,5.0,3.0,15.5,555.0,2.325,False
8,4,5,46.0,4.0,11.0,556.0,20.24,False
9,2,7,63.0,2.0,14.0,556.0,17.64,False
6,4,6,22.0,4.0,12.5,560.0,11.0,False
12,2,5,148.0,2.0,11.0,563.0,32.56,False
11,3,5,113.0,3.0,11.0,567.0,37.29,True
1,1,9,2.0,1.0,17.0,568.0,0.34,False
11,2,6,113.0,2.0,12.5,572.0,28.25,False
4,3,8,9.0,3.0,15.5,572.0,4.185,False
1,4,7,2.0,4.0,14.0,573.0,1.12,False
2,1,9,3.0,1.0,17.0,573.0,0.51,False
12,3,4,148.0,3.0,9.5,576.0,42.18,True
11,4,1,113.0,4.0,5.0,577.0,22.6,False
14,1,1,244.0,1.0,5.0,577.0,12.200000000000001,False
2,4,7,3.0,4.0,14.0,578.0,1.6800000000000002,False
10,1,7,85.0,1.0,14.0,579.0,11.9,False
13,3,1,191.0,3.0,5.0,582.0,28.650000000000002,False
8,3,7,46.0,3.0,14.0,584.0,19.32,False
7,2,8,32.0,2.0,15.5,584.0,9.92,False
3,1,9,5.0,1.0,17.0,584.0,0.8500000000000001,False
13,2,4,191.0,2.0,9.5,585.0,36.29,False
11,4,2,113.0,4.0,6.5,585.0,29.380000000000003,False
14,1,2,244.0,1.0,6.5,585.0,15.860000000000001,False
10,3,6,85.0,3.0,12.5,586.0,31.875,False
3,4,7,5.0,4.0,14.0,589.0,2.8000000000000003,False
13,3,2,191.0,3.0,6.5,590.0,37.245000000000005,False
10,4,4,85.0,4.0,9.5,594.0,32.3,False
7,4,6,32.0,4.0,12.5,595.0,16.0,False
8,1,8,46.0,1.0,15.5,595.0,7.13,False
5,3,8,14.0,3.0,15.5,595.0,6.51,False
1,2,9,2.0,2.0,17.0,598.0,0.68,False
4,1,9,9.0,1.0,17.0,601.0,1.53,False
9,4,5,63.0,4.0,11.0,603.0,27.72,False
2,2,9,3.0,2.0,17.0,603.0,1.02,False
4,4,7,9.0,4.0,14.0,606.0,5.040000000000001,False
14,2,1,244.0,2.0,5.0,607.0,24.400000000000002,False
10,2,7,85.0,2.0,14.0,609.0,23.8,False
11,4,3,113.0,4.0,8.0,611.0,36.160000000000004,False
14,1,3,244.0,1.0,8.0,611.0,19.52,False
12,1,6,148.0,1.0,12.5,613.0,18.5,False
3,2,9,5.0,2.0,17.0,614.0,1.7000000000000002,False
14,2,2,244.0,2.0,6.5,615.0,31.720000000000002,False
13,3,3,191.0,3.0,8.0,616.0,45.84,True
13,1,5,191.0,1.0,11.0,617.0,21.01,False
6,3,8,22.0,3.0,15.5,624.0,10.23,False
5,1,9,14.0,1.0,17.0,624.0,2.3800000000000003,False
8,2,8,46.0,2.0,15.5,625.0,14.26,False
5,4,7,14.0,4.0,14.0,629.0,7.840000000000001,False
9,3,7,63.0,3.0,14.0,631.0,26.46,False
4,2,9,9.0,2.0,17.0,631.0,3.06,False
8,4,6,46.0,4.0,12.5,636.0,23.0,False
12,3,5,148.0,3.0,11.0,638.0,48.84,True
11,1,7,113.0,1.0,14.0,640.0,15.820000000000002,False
14,2,3,244.0,2.0,8.0,641.0,39.04,False
9,1,8,63.0,1.0,15.5,642.0,9.765,False
12,2,6,148.0,2.0,12.5,643.0,37.0,False
11,3,6,113.0,3.0,12.5,647.0,42.375,False
13,2,5,191.0,2.0,11.0,647.0,42.02,False
12,4,1,148.0,4.0,5.0,648.0,29.6,False
6,1,9,22.0,1.0,17.0,653.0,3.74,False
5,2,9,14.0,2.0,17.0,654.0,4.760000000000001,False
11,4,4,113.0,4.0,9.5,655.0,42.94,False
14,1,4,244.0,1.0,9.5,655.0,23.18,False
1,5,1,2.0,5.0,5.0,655.0,0.5,False
12,4,2,148.0,4.0,6.5,656.0,38.480000000000004,False
10,4,5,85.0,4.0,11.0,656.0,37.4,False
6,4,7,22.0,4.0,14.0,658.0,12.32,False
7,3,8,32.0,3.0,15.5,659.0,14.879999999999999,False
13,3,4,191.0,3.0,9.5,660.0,54.435,True
2,5,1,3.0,5.0,5.0,660.0,0.75,False
1,5,2,2.0,5.0,6.5,663.0,0.65,False
2,5,2,3.0,5.0,6.5,668.0,0.9750000000000001,False
11,2,7,113.0,2.0,14.0,670.0,31.640000000000004,False
3,5,1,5.0,5.0,5.0,671.0,1.25,False
9,2,8,63.0,2.0,15.5,672.0,19.53,False
1,3,9,2.0,3.0,17.0,673.0,1.02,False
2,3,9,3.0,3.0,17.0,678.0,1.53,False
3,5,2,5.0,5.0,6.5,679.0,1.625,False
12,4,3,148.0,4.0,8.0,682.0,47.36,False
14,3,1,244.0,3.0,5.0,682.0,36.6,False
9,4,6,63.0,4.0,12.5,683.0,31.5,False
6,2,9,22.0,2.0,17.0,683.0,7.48,False
10,3,7,85.0,3.0,14.0,684.0,35.7,False
14,2,4,244.0,2.0,9.5,685.0,46.36,False
7,1,9,32.0,1.0,17.0,688.0,5.44,False
4,5,1,9.0,5.0,5.0,688.0,2.25,False
3,3,9,5.0,3.0,17.0,689.0,2.5500000000000003,False
1,4,8,2.0,4.0,15.5,689.0,1.24,False
1,5,3,2.0,5.0,8.0,689.0,0.8,False
14,3,2,244.0,3.0,6.5,690.0,47.58,False
7,4,7,32.0,4.0,14.0,693.0,17.92,False
2,4,8,3.0,4.0,15.5,694.0,1.8599999999999999,False
2,5,3,3.0,5.0,8.0,694.0,1.2,False
10,1,8,85.0,1.0,15.5,695.0,13.175,False
4,5,2,9.0,5.0,6.5,696.0,2.9250000000000003,False
13,1,6,191.0,1.0,12.5,697.0,23.875,False
15,1,1,309.0,1.0,5.0,697.0,15.450000000000001,False
8,3,8,46.0,3.0,15.5,700.0,21.39,False
15,1,2,309.0,1.0,6.5,705.0,20.085,False
3,4,8,5.0,4.0,15.5,705.0,3.1,False
3,5,3,5.0,5.0,8.0,705.0,2.0,False
4,3,9,9.0,3.0,17.0,706.0,4.590000000000001,False
12,1,7,148.0,1.0,14.0,711.0,20.720000000000002,False
5,5,1,14.0,5.0,5.0,711.0,3.5,False
14,3,3,244.0,3.0,8.0,716.0,58.56,True
11,4,5,113.0,4.0,11.0,717.0,49.72,False
14,1,5,244.0,1.0,11.0,717.0,26.84,False
12,3,6,148.0,3.0,12.5,718.0,55.5,False
7,2,9,32.0,2.0,17.0,718.0,10.88,False
5,5,2,14.0,5.0,6.5,719.0,4.55,False
1,1,10,2.0,1.0,18.5,720.0,0.37,False
13,3,5,191.0,3.0,11.0,722.0,63.03,True
4,4,8,9.0,4.0,15.5,722.0,5.58,False
4,5,3,9.0,5.0,8.0,722.0,3.6,False
10,2,8,85.0,2.0,15.5,725.0,26.35,False
2,1,10,3.0,1.0,18.5,725.0,0.5549999999999999,False
12,4,4,148.0,4.0,9.5,726.0,56.24,False
13,2,6,191.0,2.0,12.5,727.0,47.75,False
15,2,1,309.0,2.0,5.0,727.0,30.900000000000002,False
8,1,9,46.0,1.0,17.0,729.0,7.82,False
5,3,9,14.0,3.0,17.0,729.0,7.140000000000001,False
15,1,3,309.0,1.0,8.0,731.0,24.72,False
13,4,1,191.0,4.0,5.0,732.0,38.2,False
1,5,4,2.0,5.0,9.5,733.0,0.95,False
8,4,7,46.0,4.0,14.0,734.0,25.76,False
15,2,2,309.0,2.0,6.5,735.0,40.17,False
10,4,6,85.0,4.0,12.5,736.0,42.5,False
3,1,10,5.0,1.0,18.5,736.0,0.925,False
2,5,4,3.0,5.0,9.5,738.0,1.425,False
13,4,2,191.0,4.0,6.5,740.0,49.660000000000004,False
6,5,1,22.0,5.0,5.0,740.0,5.5,False
12,2,7,148.0,2.0,14.0,741.0,41.440000000000005,False
11,3,7,113.0,3.0,14.0,745.0,47.46000000000001,False
5,4,8,14.0,4.0,15.5,745.0,8.68,False
5,5,3,14.0,5.0,8.0,745.0,5.6000000000000005,False
14,2,5,244.0,2.0,11.0,747.0,53.68,False
9,3,8,63.0,3.0,15.5,747.0,29.294999999999998,False
6,5,2,22.0,5.0,6.5,748.0,7.15,False
3,5,4,5.0,5.0,9.5,749.0,2.375,False
1,2,10,2.0,2.0,18.5,750.0,0.74,False
4,1,10,9.0,1.0,18.5,753.0,1.665,False
2,2,10,3.0,2.0,18.5,755.0,1.1099999999999999,False
11,1,8,113.0,1.0,15.5,756.0,17.515,False
6,3,9,22.0,3.0,17.0,758.0,11.22,False
8,2,9,46.0,2.0,17.0,759.0,15.64,False
14,3,4,244.0,3.0,9.5,760.0,69.54,True
15,2,3,309.0,2.0,8.0,761.0,49.44,False
13,4,3,191.0,4.0,8.0,766.0,61.120000000000005,False
4,5,4,9.0,5.0,9.5,766.0,4.275,False
3,2,10,5.0,2.0,18.5,766.0,1.85,False
6,4,8,22.0,4.0,15.5,774.0,13.64,False
6,5,3,22.0,5.0,8.0,774.0,8.8,False
15,1,4,309.0,1.0,9.5,775.0,29.355,False
7,5,1,32.0,5.0,5.0,775.0,8.0,False
9,1,9,63.0,1.0,17.0,776.0,10.71,False
5,1,10,14.0,1.0,18.5,776.0,2.59,False
9,4,7,63.0,4.0,14.0,781.0,35.28,False
7,5,2,32.0,5.0,6.5,783.0,10.4,False
4,2,10,9.0,2.0,18.5,783.0,3.33,False
11,2,8,113.0,2.0,15.5,786.0,35.03,False
12,4,5,148.0,4.0,11.0,788.0,65.12,False
5,5,4,14.0,5.0,9.5,789.0,6.65,False
7,3,9,32.0,3.0,17.0,793.0,16.32,False
13,1,7,191.0,1.0,14.0,795.0,26.740000000000002,False
1,5,5,2.0,5.0,11.0,795.0,1.1,False
11,4,6,113.0,4.0,12.5,797.0,56.5,False
14,1,6,244.0,1.0,12.5,797.0,30.5,False
10,3,8,85.0,3.0,15.5,800.0,39.525,False
2,5,5,3.0,5.0,11.0,800.0,1.65,False
13,3,6,191.0,3.0,12.5,802.0,71.625,True
15,3,1,309.0,3.0,5.0,802.0,46.35,False
15,2,4,309.0,2.0,9.5,805.0,58.71,False
6,1,10,22.0,1.0,18.5,805.0,4.07,False
9,2,9,63.0,2.0,17.0,806.0,21.42,False
5,2,10,14.0,2.0,18.5,806.0,5.18,False
7,4,8,32.0,4.0,15.5,809.0,19.84,False
7,5,3,32.0,5.0,8.0,809.0,12.8,False
13,4,4,191.0,4.0,9.5,810.0,72.58,True
